Date,Region,Ad_Spend,Leads,Conversion_Rate,Discount_Percent,Revenue
01-01-2024,Mumbai,137454.01,154,0.1639,17.37,9760.77
01-01-2024,Delhi,115601.86,158,0.126,14.73,6875
01-01-2024,Bangalore,133370.86,147,0.1625,6.39,9909
01-01-2024,Pune,196990.99,151,0.1763,6.01,6322.71
02-01-2024,Mumbai,199221.16,140,0.1383,15.97,-2163.52
02-01-2024,Delhi,143194.5,156,0.1515,13.6,7952.7
02-01-2024,Bangalore,104666.57,155,0.134,7.72,9525.96
02-01-2024,Pune,161838.6,151,0.1509,17.26,4869.52
03-01-2024,Mumbai,104645.04,158,0.1608,14.56,13488.86
03-01-2024,Delhi,101326.5,164,0.1779,21.36,16913.21
03-01-2024,Bangalore,130461.38,160,0.1339,10.58,7312.49
03-01-2024,Pune,168326.35,151,0.1497,6.65,5108.33
04-01-2024,Mumbai,190932.04,143,0.1309,20.35,-2404.81
04-01-2024,Delhi,142515.59,161,0.1528,9.51,9398.44
04-01-2024,Bangalore,196958.46,151,0.1764,23,4635.84
04-01-2024,Pune,159790,155,0.1396,16.84,3973.99
05-01-2024,Mumbai,152083.43,147,0.1707,20.2,7860.54
05-01-2024,Delhi,153969.21,163,0.1414,11.34,6518.35
05-01-2024,Bangalore,154269.61,148,0.1378,9.14,4049.94
05-01-2024,Pune,101563.64,148,0.1663,9.78,13483.61
06-01-2024,Mumbai,100552.21,150,0.1319,19.52,7782.81
06-01-2024,Delhi,179017.55,144,0.1756,18.37,5544.44
06-01-2024,Bangalore,191495.97,148,0.1574,12.29,2916.58
06-01-2024,Pune,106355.84,162,0.1601,18.65,13440.3
07-01-2024,Mumbai,159129.78,161,0.1732,14.97,10480.29
07-01-2024,Delhi,111959.42,153,0.1709,19.71,12985.8
07-01-2024,Bangalore,123598.49,153,0.1496,15.93,8940
07-01-2024,Pune,142754.1,149,0.1464,9.83,6548.99
08-01-2024,Mumbai,189576.36,156,0.1389,15.66,1138.45
08-01-2024,Delhi,190756.65,162,0.1563,16.26,4613.57
08-01-2024,Bangalore,120306.12,152,0.1246,11.51,5760.92
08-01-2024,Pune,116122.13,141,0.1575,11.62,9428.12
09-01-2024,Mumbai,110549.43,151,0.1312,22.96,6459.52
09-01-2024,Delhi,153934.22,162,0.1738,12.04,11552.38
09-01-2024,Bangalore,111005.19,164,0.1589,6.01,14351.76
09-01-2024,Pune,135256.89,142,0.1204,15.7,2003.12
10-01-2024,Mumbai,141741.1,144,0.1615,11.12,7976.65
10-01-2024,Delhi,124412.55,161,0.1331,16.6,7331.61
10-01-2024,Bangalore,140383.62,156,0.1352,10.69,5989.22
10-01-2024,Pune,169630.43,142,0.1381,11.41,1499.24
11-01-2024,Mumbai,103688.69,156,0.1786,13.81,16111.28
11-01-2024,Delhi,103305.07,140,0.1581,18.93,9904.7
11-01-2024,Bangalore,153093.46,145,0.1345,18.77,2319.48
11-01-2024,Pune,176161.96,156,0.1637,12.99,6621.12
12-01-2024,Mumbai,163230.58,145,0.1439,21.51,2395.49
12-01-2024,Delhi,179834.51,148,0.1392,9.54,1670.69
12-01-2024,Bangalore,104077.51,159,0.1396,10.18,10763.44
12-01-2024,Pune,171114.95,158,0.1409,7.83,4371.12
13-01-2024,Mumbai,194052.33,147,0.1432,23.8,-734.01
13-01-2024,Delhi,113752.09,164,0.1268,23.57,7064.45
13-01-2024,Bangalore,187733.94,142,0.1337,9.32,-718.56
13-01-2024,Pune,198216.83,159,0.1518,10.6,3251.66
14-01-2024,Mumbai,109310.28,151,0.1535,22.77,9970.1
14-01-2024,Delhi,118870.71,148,0.141,19.79,6994.59
14-01-2024,Bangalore,189711.03,163,0.1443,22.87,2258.22
14-01-2024,Pune,185092.84,156,0.1297,23.07,-583.69
15-01-2024,Mumbai,160642.91,142,0.1423,23.86,1761.31
15-01-2024,Delhi,197366.38,157,0.1296,16.43,-1024.42
15-01-2024,Bangalore,169189.52,155,0.1797,9.34,9995.24
15-01-2024,Pune,101807.54,153,0.1395,20.18,9148.08
16-01-2024,Mumbai,164963.29,146,0.1633,11.85,6153.79
16-01-2024,Delhi,154254.02,158,0.1582,10.76,8491.15
16-01-2024,Bangalore,158987.08,145,0.1436,22.95,2626.35
16-01-2024,Pune,163113.86,141,0.141,18.26,1744.58
17-01-2024,Mumbai,166892.41,140,0.1317,19.73,-221.86
17-01-2024,Delhi,128077.24,142,0.1661,6.83,10097.51
17-01-2024,Bangalore,199455.05,153,0.1749,13.03,5509.65
17-01-2024,Pune,101545.66,163,0.1398,16.5,10989.92
18-01-2024,Mumbai,157229.25,140,0.1245,11.81,529.16
18-01-2024,Delhi,119091.1,140,0.139,9.22,6631
18-01-2024,Bangalore,155680.13,161,0.1618,16.83,8792.52
18-01-2024,Pune,109717.65,154,0.1794,8.66,15790.17
19-01-2024,Mumbai,151832.97,141,0.1394,22.12,2253.01
19-01-2024,Delhi,113662.13,161,0.1416,11.58,10268.65
19-01-2024,Bangalore,180936.12,142,0.1354,17.62,-632.6
19-01-2024,Pune,108159.42,146,0.1501,21.17,8980.58
20-01-2024,Mumbai,164996.39,153,0.1677,22.91,6874.73
20-01-2024,Delhi,133799.52,141,0.1256,16.99,2636.4
20-01-2024,Bangalore,103594.23,164,0.1293,24.65,8380.69
20-01-2024,Pune,183893.35,161,0.135,6.74,2674.31
21-01-2024,Mumbai,130326.55,150,0.1276,15.92,4518.63
21-01-2024,Delhi,176999.36,151,0.1779,14.69,7696.44
21-01-2024,Bangalore,184202.31,159,0.1447,19.29,2655.01
21-01-2024,Pune,113835.31,155,0.1786,15.81,14710.92
22-01-2024,Mumbai,132295.65,156,0.1439,14.24,7799.71
22-01-2024,Delhi,174404.26,144,0.1311,7.54,678.56
22-01-2024,Bangalore,142831.45,151,0.1445,9.29,6612.71
22-01-2024,Pune,115643.7,141,0.1344,7.78,6605.87
23-01-2024,Mumbai,118286.6,152,0.1368,24.14,6550.09
23-01-2024,Delhi,173789.69,144,0.1567,13.97,3789.06
23-01-2024,Bangalore,124773.1,155,0.1295,8.28,6769.79
23-01-2024,Pune,134187.97,144,0.1256,11.92,3483.03
24-01-2024,Mumbai,197951.05,144,0.1485,7.86,795.87
24-01-2024,Delhi,149161.59,146,0.1408,14.83,4154.59
24-01-2024,Bangalore,164977.37,149,0.1769,22.85,7582.93
24-01-2024,Pune,126089.36,149,0.1576,15.56,9310.29
25-01-2024,Mumbai,185648.98,144,0.161,17.7,2854.43
25-01-2024,Delhi,194389.16,141,0.1216,17.13,-4007.6
25-01-2024,Bangalore,194023.02,163,0.1606,16.89,5091.01
25-01-2024,Pune,112850.04,158,0.1692,17.89,13665.37
26-01-2024,Mumbai,182042.68,147,0.1743,9.72,6448.92
26-01-2024,Delhi,106936.13,153,0.1211,7.79,7054.22
26-01-2024,Bangalore,168300.68,156,0.1593,13.32,6695.24
