Date,Region,Orders_Received,Production_Output,Transportation_Time_Days,Defect_Rate,Fuel_Cost_per_Litre,Avg_Delivery_Delay_Days,Total_Cost,Revenue,Profit
2024-01-01,Mumbai,295,271,6.763,0.049,70.053,1.568,34004.643,59000.0,24995.357
2024-01-01,Delhi,240,213,6.468,0.039,77.598,1.608,27140.203,48000.0,20859.797
2024-01-01,Bangalore,240,209,5.928,0.049,79.294,0.667,26206.503,48000.0,21793.497
2024-01-01,Chennai,244,238,5.058,0.048,87.316,2.084,30474.985,48800.0,18325.015
2024-01-01,Hyderabad,305,264,2.935,0.05,90.827,1.658,33417.056,61000.0,27582.944
2024-01-02,Mumbai,207,189,5.658,0.043,72.841,0.949,23883.055,41400.0,17516.945
2024-01-02,Delhi,271,263,3.718,0.045,103.211,1.576,33380.273,54200.0,20819.727
2024-01-02,Bangalore,297,283,6.313,0.026,104.566,0.631,35321.215,59400.0,24078.785
2024-01-02,Chennai,388,340,2.046,0.028,94.689,1.589,42541.633,77600.0,35058.367
2024-01-02,Hyderabad,247,211,3.12,0.033,74.817,1.5,26818.29,49400.0,22581.71
2024-01-03,Mumbai,292,274,5.068,0.03,92.05,2.166,34883.618,58400.0,23516.382
2024-01-03,Delhi,247,225,4.306,0.035,82.984,0.735,28197.421,49400.0,21202.579
2024-01-03,Bangalore,303,282,5.104,0.048,101.42,1.189,35448.578,60600.0,25151.422
2024-01-03,Chennai,395,348,2.811,0.033,81.051,1.306,43223.56,79000.0,35776.44
2024-01-03,Hyderabad,349,308,6.348,0.033,85.182,1.4,38511.858,69800.0,31288.142
2024-01-04,Mumbai,220,195,3.138,0.012,106.159,0.66,24791.692,44000.0,19208.308
2024-01-04,Delhi,331,298,3.389,0.027,86.978,2.372,37815.903,66200.0,28384.097
2024-01-04,Bangalore,377,347,5.553,0.037,97.783,1.185,43210.283,75400.0,32189.717
2024-01-04,Chennai,339,310,4.949,0.031,108.422,2.428,39498.031,67800.0,28301.969
2024-01-04,Hyderabad,252,245,3.757,0.039,106.556,1.902,31416.543,50400.0,18983.457
2024-01-05,Mumbai,214,198,6.687,0.017,84.621,0.889,25050.726,42800.0,17749.274
2024-01-05,Delhi,390,351,3.001,0.039,103.812,1.237,43776.77,78000.0,34223.23
2024-01-05,Bangalore,226,201,2.311,0.036,88.044,0.858,25429.586,45200.0,19770.414
2024-01-05,Chennai,250,224,2.976,0.049,70.932,1.596,28387.403,50000.0,21612.597
2024-01-05,Hyderabad,312,268,6.461,0.014,95.031,0.702,33461.159,62400.0,28938.841
2024-01-06,Mumbai,392,378,5.476,0.021,106.399,1.659,47253.604,78400.0,31146.396
2024-01-06,Delhi,363,347,3.016,0.034,96.799,1.145,43180.704,72600.0,29419.296
2024-01-06,Bangalore,350,307,3.347,0.045,73.554,0.955,38053.267,70000.0,31946.733
2024-01-06,Chennai,235,215,6.727,0.032,80.566,1.794,27502.878,47000.0,19497.122
2024-01-06,Hyderabad,203,172,3.511,0.034,79.872,1.127,22002.169,40600.0,18597.831
2024-01-07,Mumbai,345,306,5.046,0.013,82.767,2.131,38613.17,69000.0,30386.83
2024-01-07,Delhi,362,349,5.45,0.047,86.288,0.825,43155.488,72400.0,29244.512
2024-01-07,Bangalore,259,242,4.195,0.026,71.401,0.752,30130.112,51800.0,21669.888
2024-01-07,Chennai,275,266,5.017,0.028,82.539,1.262,33376.373,55000.0,21623.627
2024-01-07,Hyderabad,227,220,6.063,0.029,88.514,1.532,28050.937,45400.0,17349.063
2024-01-08,Mumbai,254,222,5.156,0.011,103.542,1.551,28450.966,50800.0,22349.034
2024-01-08,Delhi,324,276,2.3,0.03,78.647,2.011,34912.071,64800.0,29887.929
2024-01-08,Bangalore,201,184,4.312,0.013,94.914,1.939,23998.755,40200.0,16201.245
2024-01-08,Chennai,287,267,6.384,0.014,80.162,1.895,33789.286,57400.0,23610.714
2024-01-08,Hyderabad,216,183,6.0,0.048,74.207,1.395,23399.721,43200.0,19800.279
2024-01-09,Mumbai,367,340,2.38,0.049,98.392,0.716,42142.142,73400.0,31257.858
2024-01-09,Delhi,396,336,5.13,0.013,86.223,1.862,42113.432,79200.0,37086.568
2024-01-09,Bangalore,214,195,5.966,0.017,83.681,1.011,24742.343,42800.0,18057.657
2024-01-09,Chennai,322,275,6.561,0.01,76.01,1.903,34711.668,64400.0,29688.332
2024-01-09,Hyderabad,346,309,4.521,0.011,82.465,2.215,39012.211,69200.0,30187.789
2024-01-10,Mumbai,355,328,5.456,0.045,103.341,2.036,41411.429,71000.0,29588.571
2024-01-10,Delhi,321,304,3.421,0.019,75.562,2.416,38443.655,64200.0,25756.345
2024-01-10,Bangalore,273,243,3.964,0.042,105.822,2.01,31223.451,54600.0,23376.549
2024-01-10,Chennai,246,227,6.266,0.017,82.811,0.578,28356.897,49200.0,20843.103
2024-01-10,Hyderabad,383,361,3.255,0.032,70.537,0.644,44347.299,76600.0,32252.701
2024-01-11,Mumbai,292,248,2.442,0.025,96.742,1.329,31392.079,58400.0,27007.921
2024-01-11,Delhi,245,230,5.799,0.05,101.501,1.224,29226.987,49000.0,19773.013
2024-01-11,Bangalore,311,294,3.611,0.025,97.734,1.294,36904.217,62200.0,25295.783
2024-01-11,Chennai,370,315,5.533,0.017,91.97,1.907,39673.367,74000.0,34326.633
2024-01-11,Hyderabad,214,199,3.429,0.034,97.413,2.141,25924.611,42800.0,16875.389
2024-01-12,Mumbai,265,246,4.37,0.01,92.238,1.473,31178.688,53000.0,21821.312
2024-01-12,Delhi,321,314,3.87,0.014,102.866,1.544,39480.733,64200.0,24719.267
2024-01-12,Bangalore,270,251,5.803,0.047,108.382,2.446,32426.923,54000.0,21573.077
2024-01-12,Chennai,343,297,6.873,0.019,79.055,1.826,37343.337,68600.0,31256.663
2024-01-12,Hyderabad,270,248,4.476,0.047,81.481,1.827,31488.446,54000.0,22511.554
2024-01-13,Mumbai,304,282,2.994,0.031,88.059,1.528,35484.376,60800.0,25315.624
2024-01-13,Delhi,229,208,4.216,0.015,87.67,1.368,26520.803,45800.0,19279.197
2024-01-13,Bangalore,375,333,6.447,0.01,73.803,1.84,41617.807,75000.0,33382.193
2024-01-13,Chennai,304,280,6.664,0.014,99.905,1.816,35507.089,60800.0,25292.911
2024-01-13,Hyderabad,207,201,6.856,0.012,106.811,1.813,26094.417,41400.0,15305.583
2024-01-14,Mumbai,207,194,6.685,0.031,89.491,2.3,25324.825,41400.0,16075.175
2024-01-14,Delhi,214,196,4.677,0.045,71.221,2.291,25377.645,42800.0,17422.355
2024-01-14,Bangalore,237,217,3.757,0.046,71.129,1.606,27554.327,47400.0,19845.673
2024-01-14,Chennai,368,342,2.681,0.043,70.042,1.891,42685.812,73600.0,30914.188
2024-01-14,Hyderabad,317,293,3.126,0.037,83.311,2.034,37009.963,63400.0,26390.037
2024-01-15,Mumbai,398,373,4.324,0.026,74.093,0.554,45777.976,79600.0,33822.024
2024-01-15,Delhi,253,218,5.412,0.032,101.843,2.096,28226.592,50600.0,22373.408
2024-01-15,Bangalore,388,362,6.213,0.041,72.661,1.239,44785.893,77600.0,32814.107
2024-01-15,Chennai,382,327,2.717,0.038,80.741,0.585,40339.767,76400.0,36060.233
2024-01-15,Hyderabad,305,280,5.267,0.018,83.99,1.524,35201.959,61000.0,25798.041
2024-01-16,Mumbai,344,312,6.765,0.011,80.282,0.51,38497.827,68800.0,30302.173
2024-01-16,Delhi,250,225,4.01,0.03,97.281,2.036,28990.868,50000.0,21009.132
2024-01-16,Bangalore,270,258,5.763,0.023,97.871,2.267,33072.051,54000.0,20927.949
2024-01-16,Chennai,206,190,6.556,0.011,70.672,1.6,24306.791,41200.0,16893.209
2024-01-16,Hyderabad,265,258,5.419,0.033,109.612,0.963,32537.616,53000.0,20462.384
2024-01-17,Mumbai,265,226,6.47,0.039,98.674,2.046,29129.917,53000.0,23870.083
2024-01-17,Delhi,250,224,5.005,0.046,73.655,2.018,28625.3,50000.0,21374.7
2024-01-17,Bangalore,346,296,6.697,0.034,85.224,2.49,37617.444,69200.0,31582.556
2024-01-17,Chennai,396,386,6.277,0.036,105.001,2.408,48574.248,79200.0,30625.752
2024-01-17,Hyderabad,393,363,2.58,0.024,81.912,0.819,44788.868,78600.0,33811.132
2024-01-18,Mumbai,238,211,4.873,0.045,106.002,1.131,26945.755,47600.0,20654.245
2024-01-18,Delhi,221,197,2.658,0.045,71.521,0.902,24806.041,44200.0,19393.959
2024-01-18,Bangalore,325,315,5.444,0.014,102.976,1.881,39770.094,65000.0,25229.906
2024-01-18,Chennai,377,324,5.169,0.024,92.328,2.112,40859.242,75400.0,34540.758
2024-01-18,Hyderabad,301,280,2.346,0.027,80.635,2.056,35434.573,60200.0,24765.427
2024-01-19,Mumbai,204,181,3.529,0.05,84.102,0.757,22939.563,40800.0,17860.437
2024-01-19,Delhi,393,363,2.176,0.036,81.891,1.691,45224.52,78600.0,33375.48
2024-01-19,Bangalore,381,367,5.882,0.023,87.293,2.189,46007.267,76200.0,30192.733
2024-01-19,Chennai,252,223,3.438,0.028,106.217,0.915,28279.873,50400.0,22120.127
2024-01-19,Hyderabad,334,316,3.983,0.039,98.791,0.931,39373.373,66800.0,27426.627
2024-01-20,Mumbai,254,235,5.826,0.02,71.994,0.926,29383.184,50800.0,21416.816
2024-01-20,Delhi,347,308,6.822,0.011,108.564,2.47,39280.762,69400.0,30119.238
2024-01-20,Bangalore,212,198,3.235,0.014,86.102,0.678,24959.919,42400.0,17440.081
2024-01-20,Chennai,384,341,6.348,0.036,84.112,1.713,42617.536,76800.0,34182.464
2024-01-20,Hyderabad,331,282,5.285,0.011,87.151,1.031,35227.158,66200.0,30972.842
2024-01-21,Mumbai,336,302,4.414,0.021,94.658,1.791,38081.932,67200.0,29118.068
2024-01-21,Delhi,357,312,3.499,0.019,71.131,2.396,39349.349,71400.0,32050.651
2024-01-21,Bangalore,268,236,6.897,0.023,99.132,0.521,29571.697,53600.0,24028.303
2024-01-21,Chennai,315,304,2.258,0.02,84.975,2.019,38339.401,63000.0,24660.599
2024-01-21,Hyderabad,210,183,6.494,0.044,103.134,1.463,23723.022,42000.0,18276.978
2024-01-22,Mumbai,345,296,5.797,0.027,99.027,1.294,37157.492,69000.0,31842.508
2024-01-22,Delhi,334,286,3.575,0.013,108.597,2.199,36505.255,66800.0,30294.745
2024-01-22,Bangalore,390,369,6.586,0.02,74.086,2.496,46268.728,78000.0,31731.272
2024-01-22,Chennai,257,251,6.703,0.027,85.512,1.387,31668.865,51400.0,19731.135
2024-01-22,Hyderabad,209,188,3.072,0.014,80.809,1.873,24304.359,41800.0,17495.641
2024-01-23,Mumbai,263,244,6.364,0.05,89.858,2.301,31329.226,52600.0,21270.774
2024-01-23,Delhi,344,331,4.853,0.029,89.641,1.376,41304.295,68800.0,27495.705
2024-01-23,Bangalore,380,355,6.485,0.017,93.274,1.212,44138.896,76000.0,31861.104
2024-01-23,Chennai,271,249,2.385,0.04,97.776,1.84,31777.655,54200.0,22422.345
2024-01-23,Hyderabad,375,353,4.387,0.01,75.797,1.74,43987.85,75000.0,31012.15
2024-01-24,Mumbai,210,191,4.187,0.037,91.128,2.467,25064.625,42000.0,16935.375
2024-01-24,Delhi,215,199,6.921,0.01,89.476,0.71,25129.974,43000.0,17870.026
2024-01-24,Bangalore,306,291,6.35,0.043,94.233,1.21,36467.372,61200.0,24732.628
2024-01-24,Chennai,311,277,2.243,0.015,100.353,1.278,34882.742,62200.0,27317.258
2024-01-24,Hyderabad,342,294,5.321,0.041,89.969,1.806,37082.729,68400.0,31317.271
2024-01-25,Mumbai,375,330,6.792,0.012,101.973,2.472,41855.87,75000.0,33144.13
2024-01-25,Delhi,396,356,2.774,0.02,104.646,1.339,44435.833,79200.0,34764.167
2024-01-25,Bangalore,343,310,3.675,0.041,86.644,2.5,39316.321,68600.0,29283.679
2024-01-25,Chennai,293,252,2.603,0.025,93.325,1.295,31820.793,58600.0,26779.207
2024-01-25,Hyderabad,384,362,5.883,0.034,92.834,0.847,44791.988,76800.0,32008.012
2024-01-26,Mumbai,250,232,2.587,0.034,79.193,1.162,29212.94,50000.0,20787.06
2024-01-26,Delhi,313,305,3.377,0.044,96.842,0.861,37998.901,62600.0,24601.099
2024-01-26,Bangalore,231,207,2.908,0.023,108.195,1.767,26805.365,46200.0,19394.635
2024-01-26,Chennai,374,360,5.336,0.042,87.812,1.682,44919.043,74800.0,29880.957
2024-01-26,Hyderabad,216,185,2.845,0.05,103.973,1.415,23947.338,43200.0,19252.662
2024-01-27,Mumbai,291,270,6.55,0.046,81.484,0.666,33548.078,58200.0,24651.922
2024-01-27,Delhi,334,301,4.968,0.028,90.812,1.347,37701.43,66800.0,29098.57
2024-01-27,Bangalore,365,324,4.973,0.039,99.067,1.132,40436.831,73000.0,32563.169
2024-01-27,Chennai,350,337,6.19,0.037,74.375,2.491,42429.308,70000.0,27570.692
2024-01-27,Hyderabad,238,231,3.911,0.046,83.845,1.216,29166.623,47600.0,18433.377
2024-01-28,Mumbai,215,203,2.117,0.034,76.684,2.423,26338.229,43000.0,16661.771
2024-01-28,Delhi,397,349,3.798,0.027,104.026,0.967,43403.903,79400.0,35996.097
2024-01-28,Bangalore,268,249,4.762,0.015,71.886,1.744,31470.975,53600.0,22129.025
2024-01-28,Chennai,343,325,5.137,0.042,109.918,1.234,40716.418,68600.0,27883.582
2024-01-28,Hyderabad,343,327,3.791,0.021,91.275,1.37,40837.717,68600.0,27762.283
2024-01-29,Mumbai,326,302,5.007,0.026,100.198,1.194,37838.91,65200.0,27361.09
2024-01-29,Delhi,338,296,6.084,0.04,72.257,1.461,36972.907,67600.0,30627.093
2024-01-29,Bangalore,277,248,6.645,0.042,73.077,0.572,30776.863,55400.0,24623.137
2024-01-29,Chennai,212,203,6.355,0.017,90.812,1.816,26176.154,42400.0,16223.846
2024-01-29,Hyderabad,239,208,5.916,0.019,80.464,0.652,26090.649,47800.0,21709.351
2024-01-30,Mumbai,275,238,4.932,0.029,97.727,1.598,30336.445,55000.0,24663.555
2024-01-30,Delhi,328,281,2.476,0.016,103.839,1.128,35322.522,65600.0,30277.478
2024-01-30,Bangalore,343,318,2.737,0.025,87.484,1.294,39681.967,68600.0,28918.033
2024-01-30,Chennai,265,238,5.901,0.029,108.444,0.936,30112.544,53000.0,22887.456
2024-01-30,Hyderabad,389,346,5.063,0.05,105.538,0.908,43029.23,77800.0,34770.77
2024-01-31,Mumbai,393,342,3.412,0.036,70.604,0.697,42094.455,78600.0,36505.545
2024-01-31,Delhi,240,231,5.381,0.042,94.781,1.133,29234.321,48000.0,18765.679
2024-01-31,Bangalore,216,206,5.995,0.022,74.032,2.23,26575.274,43200.0,16624.726
2024-01-31,Chennai,215,188,2.005,0.024,86.055,1.81,24325.327,43000.0,18674.673
2024-01-31,Hyderabad,351,315,4.47,0.023,89.402,1.59,39489.13,70200.0,30710.87
2024-02-01,Mumbai,237,215,2.497,0.048,97.882,0.735,27146.206,47400.0,20253.794
2024-02-01,Delhi,363,317,2.842,0.02,91.593,0.636,39273.793,72600.0,33326.207
2024-02-01,Bangalore,204,195,4.083,0.042,84.541,1.143,24817.058,40800.0,15982.942
2024-02-01,Chennai,233,208,3.166,0.02,78.726,2.338,26916.472,46600.0,19683.528
2024-02-01,Hyderabad,225,207,2.652,0.011,85.891,1.277,26337.316,45000.0,18662.684
2024-02-02,Mumbai,330,309,5.607,0.013,103.511,1.885,39057.834,66000.0,26942.166
2024-02-02,Delhi,347,330,2.707,0.048,89.085,1.558,41269.616,69400.0,28130.384
2024-02-02,Bangalore,381,348,2.835,0.019,78.764,1.122,43108.806,76200.0,33091.194
2024-02-02,Chennai,375,362,5.74,0.011,81.394,1.35,44929.047,75000.0,30070.953
2024-02-02,Hyderabad,359,326,6.098,0.05,71.534,2.2,40935.165,71800.0,30864.835
2024-02-03,Mumbai,250,231,4.727,0.014,95.768,1.001,29178.343,50000.0,20821.657
2024-02-03,Delhi,261,228,6.612,0.022,75.935,1.958,29098.418,52200.0,23101.582
2024-02-03,Bangalore,345,335,2.656,0.048,92.27,1.405,41825.071,69000.0,27174.929
2024-02-03,Chennai,328,303,5.514,0.037,70.315,1.377,37751.599,65600.0,27848.401
2024-02-03,Hyderabad,308,275,4.799,0.02,101.217,0.908,34466.166,61600.0,27133.834
2024-02-04,Mumbai,349,315,6.073,0.023,105.933,0.744,39231.578,69800.0,30568.422
2024-02-04,Delhi,230,209,4.839,0.037,85.955,1.455,26667.186,46000.0,19332.814
2024-02-04,Bangalore,327,288,5.958,0.048,87.703,1.764,36319.143,65400.0,29080.857
2024-02-04,Chennai,340,312,6.27,0.049,92.824,2.318,39527.03,68000.0,28472.97
2024-02-04,Hyderabad,332,290,5.74,0.048,105.844,1.966,36841.385,66400.0,29558.615
2024-02-05,Mumbai,231,218,6.064,0.044,93.653,2.071,28131.944,46200.0,18068.056
2024-02-05,Delhi,305,276,4.193,0.026,71.759,0.68,34177.473,61000.0,26822.527
2024-02-05,Bangalore,326,287,5.839,0.047,86.203,1.075,35839.716,65200.0,29360.284
2024-02-05,Chennai,352,323,5.232,0.018,92.65,1.964,40668.456,70400.0,29731.544
2024-02-05,Hyderabad,212,192,3.228,0.045,90.434,2.16,25024.249,42400.0,17375.751
2024-02-06,Mumbai,268,234,4.447,0.022,93.106,0.928,29475.024,53600.0,24124.976
2024-02-06,Delhi,291,266,6.574,0.031,83.057,2.336,33918.651,58200.0,24281.349
2024-02-06,Bangalore,213,204,4.892,0.033,86.045,1.725,26203.103,42600.0,16396.897
2024-02-06,Chennai,350,309,6.295,0.042,105.079,1.067,38664.187,70000.0,31335.813
2024-02-06,Hyderabad,376,343,5.726,0.017,83.805,2.199,43097.462,75200.0,32102.538
2024-02-07,Mumbai,270,262,3.18,0.045,72.27,1.776,33050.455,54000.0,20949.545
2024-02-07,Delhi,204,177,2.07,0.011,100.047,2.247,23364.112,40800.0,17435.888
2024-02-07,Bangalore,350,333,4.107,0.014,82.803,1.35,41462.872,70000.0,28537.128
2024-02-07,Chennai,346,303,4.22,0.033,78.583,1.389,37840.246,69200.0,31359.754
2024-02-07,Hyderabad,238,222,5.686,0.032,94.026,1.536,28348.221,47600.0,19251.779
2024-02-08,Mumbai,213,182,3.193,0.034,85.821,0.973,23184.897,42600.0,19415.103
2024-02-08,Delhi,328,281,6.927,0.049,74.042,0.995,34958.126,65600.0,30641.874
2024-02-08,Bangalore,276,236,3.867,0.029,104.758,1.415,30074.851,55200.0,25125.149
2024-02-08,Chennai,387,377,5.321,0.012,94.512,1.09,46730.227,77400.0,30669.773
2024-02-08,Hyderabad,208,193,2.338,0.032,98.44,0.766,24527.412,41600.0,17072.588
2024-02-09,Mumbai,309,301,5.446,0.031,104.443,1.196,37762.383,61800.0,24037.617
2024-02-09,Delhi,207,183,3.64,0.033,75.687,2.076,23755.082,41400.0,17644.918
